	antecedents	consequents	antecedent support	consequent support	support	confidence	lift	leverage	conviction
632	frozenset({912, 431})	frozenset({32})	0.009525401069518716	0.05731951871657754	0.009525401069518716	1.0	17.44606413994169	0.008979409664631531	inf
626	frozenset({912, 228})	frozenset({32})	0.009525401069518716	0.05731951871657754	0.009525401069518716	1.0	17.44606413994169	0.008979409664631531	inf
1558	frozenset({905, 431})	frozenset({680})	0.012867647058823529	0.008021390374331552	0.008021390374331552	0.6233766233766235	77.71428571428572	0.007918173954073609	2.6338742393509134
277	frozenset({362})	frozenset({944, 25})	0.01328542780748663	0.056567513368983954	0.01328542780748663	1.0	17.677991137370753	0.012533904192373959	inf
1426	frozenset({944})	frozenset({365})	0.19493649732620322	0.008188502673796791	0.008188502673796791	0.04200600085726532	5.129875696528075	0.006592264644220595	1.0353003236071732
980	frozenset({379})	frozenset({627, 859})	0.008856951871657755	0.008856951871657755	0.008856951871657755	1.0	112.90566037735849	0.008778506275200893	inf
1123	frozenset({226})	frozenset({672})	0.008689839572192513	0.008689839572192513	0.008689839572192513	1.0	115.07692307692308	0.00861432626040207	inf
297	frozenset({591})	frozenset({25})	0.01328542780748663	0.08121657754010696	0.01328542780748663	1.0	12.31275720164609	0.0122064308298064	inf
235	frozenset({431})	frozenset({185})	0.09617312834224599	0.022142379679144383	0.014288101604278075	0.14856646394439618	6.709597888628429	0.012158599681592983	1.148483796927862
1399	frozenset({207})	frozenset({696})	0.011614304812834224	0.014705882352941176	0.008188502673796791	0.7050359712230216	47.942446043165475	0.008017704073608052	3.3403873744619808
1339	frozenset({1045})	frozenset({411})	0.022476604278074866	0.008188502673796791	0.008188502673796791	0.3643122676579926	44.4907063197026	0.008004452939567903	1.560218086437127
1253	frozenset({18, 599})	frozenset({285})	0.032754010695187165	0.013953877005347594	0.008439171122994653	0.25765306122448983	18.464621776854457	0.007982125686322172	1.3282820625907346
133	frozenset({471})	frozenset({801, 228})	0.02289438502673797	0.06074532085561497	0.016293449197860962	0.7116788321167883	11.715780278918462	0.014902722433619776	3.257668127665335
545	frozenset({214})	frozenset({1035})	0.02331216577540107	0.01821524064171123	0.010945855614973262	0.4695340501792115	25.776988589655062	0.010521218905494867	1.8507969450065043
1155	frozenset({735})	frozenset({539})	0.01579211229946524	0.02331216577540107	0.008522727272727272	0.5396825396825397	23.150253171758546	0.008154578932858389	2.1217701226258527
1052	frozenset({450})	frozenset({944, 226})	0.008689839572192513	0.008689839572192513	0.008689839572192513	1.0	115.07692307692308	0.00861432626040207	inf
119	frozenset({18})	frozenset({228, 599})	0.1459725935828877	0.017212566844919786	0.016794786096256686	0.1150543789353177	6.684324306300399	0.014282223071684922	1.1105625134035737
686	frozenset({287, 815})	frozenset({969})	0.009441844919786096	0.009441844919786096	0.009441844919786096	1.0	105.91150442477877	0.009352696484296805	inf
497	frozenset({8})	frozenset({241, 995})	0.011196524064171123	0.011196524064171123	0.011196524064171123	1.0	89.3134328358209	0.01107116191305156	inf
458	frozenset({296})	frozenset({816, 599})	0.021808155080213904	0.011697860962566845	0.011697860962566845	0.5363984674329502	45.854406130268195	0.011442752196588407	2.131792217262562
1041	frozenset({431})	frozenset({768})	0.09617312834224599	0.008856951871657755	0.008856951871657755	0.09209383145091225	10.397914856646395	0.008005151102583718	1.0916800463116956
512	frozenset({611})	frozenset({241, 995})	0.011196524064171123	0.011196524064171123	0.011196524064171123	1.0	89.3134328358209	0.01107116191305156	inf
39	frozenset({599})	frozenset({809})	0.10736965240641712	0.02406417112299465	0.023145053475935828	0.21556420233463033	8.95789018590575	0.02056129178701135	1.2441245437568966
506	frozenset({241})	frozenset({995})	0.02030414438502674	0.04378342245989305	0.011196524064171123	0.5514403292181069	12.594728740615084	0.010307539132874832	2.131748883873816
1465	frozenset({912, 801})	frozenset({16})	0.00810494652406417	0.03877005347593583	0.00810494652406417	1.0	25.79310344827586	0.007790717313906602	inf
215	frozenset({431})	frozenset({677})	0.09617312834224599	0.01871657754010695	0.01579211229946524	0.16420503909643788	8.773240660295397	0.013992080485572937	1.1740719534837183
1484	frozenset({595})	frozenset({801, 287})	0.022727272727272728	0.016794786096256686	0.00810494652406417	0.3566176470588235	21.23383084577114	0.007723246840058337	1.528181818181818
476	frozenset({8})	frozenset({846})	0.011196524064171123	0.028910427807486632	0.011196524064171123	1.0	34.589595375722546	0.010872827763519116	inf
542	frozenset({611})	frozenset({995})	0.011196524064171123	0.04378342245989305	0.011196524064171123	1.0	22.83969465648855	0.01070630192098716	inf
21	frozenset({801, 431})	frozenset({34})	0.04712566844919786	0.037015374331550804	0.024565508021390375	0.5212765957446809	14.082704961337111	0.022821133763118763	2.0115678847296494
1	frozenset({431})	frozenset({228})	0.09617312834224599	0.12842580213903743	0.08188502673796791	0.8514335360556038	6.629770045226719	0.06953391558639438	5.866560828877004
999	frozenset({78})	frozenset({627, 859})	0.008856951871657755	0.008856951871657755	0.008856951871657755	1.0	112.90566037735849	0.008778506275200893	inf
73	frozenset({209, 479})	frozenset({705})	0.01821524064171123	0.01821524064171123	0.01821524064171123	1.0	54.89908256880734	0.017883445650075783	inf
829	frozenset({1035, 44})	frozenset({867})	0.009107620320855615	0.009107620320855615	0.009107620320855615	1.0	109.79816513761467	0.009024671572946752	inf
1163	frozenset({539, 214})	frozenset({965})	0.01763034759358289	0.008522727272727272	0.008522727272727272	0.48341232227488146	56.72037914691943	0.008372468628463782	1.9192816930775642
1120	frozenset({450})	frozenset({672, 18})	0.008689839572192513	0.008689839572192513	0.008689839572192513	1.0	115.07692307692308	0.00861432626040207	inf
984	frozenset({627, 78})	frozenset({379})	0.008856951871657755	0.008856951871657755	0.008856951871657755	1.0	112.90566037735849	0.008778506275200893	inf
447	frozenset({728})	frozenset({944, 18})	0.02147393048128342	0.05706885026737968	0.011948529411764705	0.556420233463035	9.74998148475198	0.010723036888476221	2.1257307498358196
1277	frozenset({801, 252})	frozenset({595})	0.008355614973262033	0.022727272727272728	0.008355614973262033	1.0	44.0	0.008165714632960622	inf
612	frozenset({912})	frozenset({431})	0.01763034759358289	0.09617312834224599	0.009525401069518716	0.5402843601895734	5.617830775628857	0.007829835387682662	1.9660563909256294
740	frozenset({337, 947})	frozenset({576})	0.009274732620320856	0.009274732620320856	0.009274732620320856	1.0	107.81981981981981	0.009188711955142412	inf
592	frozenset({581})	frozenset({770, 358})	0.014622326203208556	0.011363636363636364	0.010026737967914439	0.6857142857142857	60.34285714285714	0.009860575170150706	3.1456611570247937
1208	frozenset({956, 431})	frozenset({34})	0.008522727272727272	0.037015374331550804	0.008522727272727272	1.0	27.015801354401805	0.008207255332401554	inf
348	frozenset({905, 431})	frozenset({32})	0.012867647058823529	0.05731951871657754	0.012867647058823529	1.0	17.44606413994169	0.01213007972239698	inf
718	frozenset({296})	frozenset({23})	0.021808155080213904	0.01804812834224599	0.009358288770053475	0.4291187739463601	23.77635873421314	0.00896469238825817	1.7200633456555288
1065	frozenset({672})	frozenset({450, 226})	0.008689839572192513	0.008689839572192513	0.008689839572192513	1.0	115.07692307692308	0.00861432626040207	inf
64	frozenset({209})	frozenset({953})	0.027406417112299464	0.022393048128342245	0.01821524064171123	0.6646341463414634	29.680378594830728	0.017601527424290084	2.9150461837627617
330	frozenset({185})	frozenset({9})	0.022142379679144383	0.07494986631016043	0.013201871657754011	0.5962264150943397	7.9550030499989495	0.011542303261013328	2.2910120133439955
397	frozenset({843})	frozenset({1002})	0.012366310160427808	0.021557486631016042	0.012366310160427808	1.0	46.38759689922481	0.012099723594469388	inf
1403	frozenset({45})	frozenset({696})	0.011781417112299465	0.014705882352941176	0.008188502673796791	0.6950354609929078	47.262411347517734	0.008015246539792388	3.2308481532147746
268	frozenset({25, 801})	frozenset({591})	0.03935494652406417	0.01328542780748663	0.01328542780748663	0.3375796178343949	25.409766454352443	0.01276258050657368	1.4895594984060057
881	frozenset({867})	frozenset({539, 1035})	0.009107620320855615	0.014789438502673797	0.009107620320855615	1.0	67.61581920903954	0.008972923730214619	inf
216	frozenset({1018})	frozenset({695})	0.015040106951871657	0.015040106951871657	0.015040106951871657	1.0	66.4888888888889	0.01481390213474792	inf
852	frozenset({867})	frozenset({1035, 214})	0.009107620320855615	0.010945855614973262	0.009107620320855615	1.0	91.3587786259542	0.009007929623827533	inf
1034	frozenset({627})	frozenset({1047})	0.008856951871657755	0.011363636363636364	0.008856951871657755	1.0	88.0	0.008756304691298008	inf
1570	frozenset({779})	frozenset({1007})	0.014789438502673797	0.010862299465240642	0.008021390374331552	0.5423728813559322	49.93168187744459	0.007860743064392748	2.1614490493166962
928	frozenset({995})	frozenset({332})	0.04378342245989305	0.009024064171122994	0.009024064171122994	0.20610687022900762	22.83969465648855	0.008628959757213532	1.2482485345536816
804	frozenset({337})	frozenset({947})	0.009608957219251337	0.009274732620320856	0.009274732620320856	0.9652173913043479	104.0695652173913	0.009185612111352198	28.483351437165847
1328	frozenset({595})	frozenset({16, 1028})	0.022727272727272728	0.008355614973262033	0.008355614973262033	0.36764705882352944	44.0	0.008165714632960622	1.5681818181818183
1242	frozenset({1046, 599})	frozenset({285})	0.013619652406417113	0.013953877005347594	0.008439171122994653	0.6196319018404908	44.40571617501194	0.008249124168459923	2.5923470652923926
